Imię,Nazwisko,Klasa,J. polski,J. angielski,Matematyka,Historia,WF
Bogna,Zakrzewska,5A,3,2,2,1,1
Bianka,Woźniak,4E,3,2,3,4,2
Emilia,Zalewska,5D,2,3,3,5,3
Adrianna,Bąk,7F,5,1,5,5,4
Danuta,Kaźmierczak,5E,4,3,4,3,2
Lara,Lis,3C,5,1,2,2,1
Alisa,Gajewska,1E,2,2,4,3,2
Helena,Piotrowska,2C,1,2,1,4,1
Nina,Kucharska,5E,2,1,5,3,5
Magdalena,Sobczak,2A,2,5,2,1,4
Florencja,Adamska,1A,2,4,3,2,1
Eliza,Kamińska,2A,1,3,3,5,1
Bogumiła,Marciniak,3A,2,2,4,3,2
Liliana,Sikora,2D,1,1,1,1,4
Otylia,Czerwińska,7E,5,3,5,5,2
Izyda,Kowalska,5F,4,3,1,3,2
Paulina,Mazur,8C,3,5,5,4,4
Zuza,Andrzejewska,1B,4,1,4,4,3
Ewa,Kaczmarczyk,8E,2,3,2,3,1
Magdalena,Jakubowska,5F,3,2,5,3,5
Konstancja,Michalak,8D,5,1,4,2,3
Roksana,Kowalczyk,7D,1,5,2,5,4
Weronika,Sikora,6B,1,5,5,4,4
Zuzanna,Kalinowska,6F,2,1,1,2,2
Ida,Piotrowska,6B,4,1,3,1,1
Klementyna,Cieślak,5C,2,4,3,3,2
Jowita,Sokołowska,2A,2,3,5,2,3
Karolina,Szewczyk,8F,5,5,5,1,3
Małgorzata,Kwiatkowska,7B,1,3,2,2,3
Lucyna,Wójcik,8A,2,3,4,5,1
Marysia,Baran,1E,1,2,4,5,1
Liliana,Kucharska,4C,3,3,4,5,1
Natalia,Rutkowska,1F,4,4,1,2,3
Adela,Szczepańska,5A,3,5,5,3,4
Agnieszka,Czarnecka,7A,1,5,5,3,3
Wiktoria,Zielińska,7A,2,1,5,4,2
Klementyna,Mróz,4F,2,5,4,5,5
Marlena,Sadowska,3E,2,2,1,1,2
Ilona,Makowska,4D,2,2,5,3,4
Bogda,Mróz,2A,2,2,4,2,4
Daria,Szymczak,3D,1,3,4,1,5
Martyna,Kalinowska,5B,1,5,1,2,5
Gabriela,Sadowska,2D,1,5,4,3,5
Luiza,Jaworska,8E,1,3,5,3,3
Józefa,Kucharska,2D,4,1,2,2,3
Agata,Szewczyk,4F,2,5,2,5,1
Anita,Makowska,8C,5,1,3,1,2
Pamela,Kamińska,7D,4,3,4,1,5
Amalia,Urbańska,8B,3,3,3,5,1
Joanna,Mazur,1D,5,3,3,5,1
Krystyna,Kwiatkowska,7B,5,4,5,2,2
Berenika,Zakrzewska,1F,5,3,5,4,4
Edyta,Zawadzka,3B,1,1,4,1,1
Alina,Ostrowska,7C,1,3,5,4,5
Julita,Sadowska,2A,4,2,3,5,4
Elena,Zawadzka,8C,5,1,2,2,2
Izabela,Duda,8C,3,3,4,4,1
Emilia,Kowalska,6A,1,5,4,5,3
Danuta,Marciniak,5F,5,3,2,2,3
Alina,Sikora,6A,1,2,3,4,2
Paula,Szymańska,7F,5,1,1,2,5
Otylia,Czerwińska,6C,2,4,4,3,2
Paula,Nowak,8D,2,4,1,4,2
Nikola,Wysocka,8C,4,3,2,2,3
Agata,Marciniak,6E,5,1,5,5,2
Milena,Jankowska,2E,5,4,5,5,5
Oliwia,Rutkowska,3C,2,2,2,3,2
Klaudia,Adamska,6B,1,4,1,3,5
Florencja,Piotrowska,7C,3,3,5,5,5
Oliwia,Sadowska,5E,2,3,2,1,1
Roksana,Kozłowska,8E,3,5,1,1,1
Alice,Duda,3D,1,5,3,4,4
Wanda,Czerwińska,2C,5,4,1,4,2
Katarzyna,Woźniak,8D,1,4,2,5,4
Alana,Stępień,7C,3,1,4,2,3
Faustyna,Pawlak,4B,3,1,4,5,2
Aniela,Brzezińska,4A,5,5,2,2,5
Andrea,Szymańska,7B,1,5,5,5,3
Ida,Bąk,4A,4,5,3,5,2
Andrea,Michalak,7F,2,5,5,2,3
Agata,Witkowska,5D,1,5,3,2,5
Ida,Włodarczyk,1E,4,4,5,3,2
Róża,Szymańska,3B,1,1,2,5,3
Helena,Michalak,7F,1,1,5,3,1
Ewa,Krajewska,4C,1,4,2,2,5
Adela,Lewandowska,6E,4,2,5,5,3
Aleksandra,Włodarczyk,5A,2,2,3,3,1
Paula,Przybylska,7E,2,1,5,4,1
Nina,Jakubowska,2D,2,2,4,4,2
Jadwiga,Laskowska,5D,4,3,4,3,5
Lila,Cieślak,5F,2,1,3,3,1
Marysia,Zawadzka,5F,2,3,1,5,5
Róża,Piotrowska,8A,2,5,1,3,4
Ewelina,Czarnecka,7D,4,4,5,1,2
Jagoda,Górecka,2F,3,3,2,2,4
Andżelika,Błaszczyk,5D,4,5,4,4,5
Magda,Sokołowska,6D,3,1,4,5,2
Edyta,Baranowska,4E,1,1,4,5,4
Adriana,Sawicka,8F,3,2,3,1,1
Konstancja,Szulc,4D,3,2,1,3,1
Andżelika,Brzezińska,7A,3,3,4,3,1
Alice,Baran,4A,3,3,2,4,1
Halina,Wróblewska,4B,2,4,2,3,2
Marysia,Kozłowska,7E,1,2,3,1,5
Dagmara,Mazur,8F,4,2,2,4,4
Halina,Krajewska,4B,5,1,5,1,5
Zuza,Woźniak,4C,5,1,1,5,3
Florencja,Kowalczyk,4A,4,2,1,5,5
Izabela,Lewandowska,8F,1,5,1,2,4
Hortensja,Kamińska,7C,1,1,2,1,2
Martyna,Błaszczyk,4B,1,1,1,5,4
Arleta,Gajewska,7C,3,4,2,2,4
Klaudia,Czarnecka,1B,1,4,1,2,4
Justyna,Adamska,6E,2,5,2,4,3
Florentyna,Gajewska,6E,2,5,2,1,3
Bogna,Piotrowska,8A,2,1,1,1,2
Joanna,Zielińska,2F,3,2,3,3,1
Elżbieta,Przybylska,2F,3,5,3,3,1
Lila,Nowak,8F,4,5,1,1,5
Stanisława,Brzezińska,5C,3,5,2,2,4
Klara,Wróblewska,1A,4,5,3,3,2
Balbina,Dąbrowska,6B,1,5,1,3,1
Elena,Szewczyk,2D,2,1,4,3,4
Aniela,Wiśniewska,6E,2,4,1,1,3
Agata,Sokołowska,7D,2,2,1,3,5
Ewelina,Rutkowska,3D,2,4,4,2,5
Katarzyna,Kozłowska,3C,1,1,1,5,2
Patrycja,Jakubowska,3C,2,5,1,4,5
Hortensja,Wiśniewska,2F,4,5,2,2,1
Daniela,Michalak,3A,5,1,3,5,4
Bianka,Kalinowska,5F,3,5,1,5,5
Julita,Mróz,2C,4,2,4,4,1
Beata,Urbańska,7A,4,3,3,3,3
Marlena,Kubiak,3E,2,1,5,5,5
Bogna,Michalak,6A,2,1,1,3,2
Bogda,Laskowska,5C,1,4,4,5,3
Stefania,Gajewska,2F,5,4,5,2,5
Dorota,Stępień,4D,1,4,4,1,5
Wioletta,Duda,6A,1,3,5,4,3
Paula,Pietrzak,6C,1,3,2,4,3
Katarzyna,Woźniak,7E,2,4,1,3,4
Dagmara,Kucharska,4E,5,2,1,2,2
Amanda,Makowska,7E,4,5,2,5,3
Małgorzata,Sokołowska,1B,1,3,4,3,1
Florencja,Zielińska,6E,1,4,5,4,5
Adela,Lewandowska,2F,4,3,1,1,3
Bernadetta,Gajewska,1A,4,3,5,4,4
Adriana,Szczepańska,2B,5,5,2,5,3
Oktawia,Adamska,6C,4,3,3,4,3
Ola,Sawicka,5F,5,2,4,1,4
Jagoda,Dąbrowska,2D,2,3,4,3,1
Martyna,Głowacka,8F,5,4,3,1,3
Danuta,Baran,4F,4,4,5,1,5
Asia,Zawadzka,3B,5,3,4,5,2
Bernadetta,Pawlak,3D,2,3,1,3,3
Florencja,Jankowska,8A,3,2,4,5,1
Katarzyna,Bąk,4F,2,4,5,4,4
Franciszka,Szulc,1B,1,3,5,3,4
Berenika,Laskowska,8A,3,4,3,1,1
Bianka,Kowalska,4A,2,5,2,4,3
Angelika,Dąbrowska,5D,4,4,5,4,2
Faustyna,Gajewska,8E,4,5,5,3,1
Julianna,Kubiak,5C,3,1,4,2,1
Jola,Lewandowska,3B,5,2,4,3,4
Amelia,Pietrzak,4A,1,1,3,2,5
Konstancja,Szymańska,2D,2,2,4,1,5
Daria,Maciejewska,3B,4,5,4,3,4
Andrea,Jakubowska,5D,5,2,5,4,3
Bogusława,Maciejewska,3E,1,1,1,4,1
Lidia,Kaczmarczyk,8C,3,5,3,5,3
Paulina,Błaszczyk,7F,1,2,5,2,1
Krystyna,Błaszczyk,7D,1,2,1,1,4
Roksana,Górecka,3A,5,5,2,3,4
Paulina,Kaczmarczyk,4B,1,3,2,3,2
Nikola,Rutkowska,7A,5,3,4,3,1
Hortensja,Kowalczyk,5A,4,3,4,5,5
Klementyna,Kowalczyk,3C,1,3,1,3,3
Jagoda,Wójcik,8B,4,5,1,4,2
Czesława,Mróz,3E,1,2,3,5,4
Żaneta,Szymczak,2F,1,2,2,1,2
Celina,Pietrzak,3F,3,3,5,5,2
Alice,Wojciechowska,4C,1,3,1,1,1
Lucyna,Brzezińska,3B,2,1,2,3,5
Bogusława,Chmielewska,8A,4,2,3,2,5
Lila,Marciniak,4E,1,4,4,3,4
Agata,Baranowska,2F,2,2,1,3,1
Andżelika,Zalewska,1D,1,3,2,5,1
Nikola,Kowalczyk,4C,5,4,3,4,4
Czesława,Kozłowska,3E,4,5,5,5,2
Otylia,Rutkowska,5A,2,3,1,2,3
Danuta,Górecka,1A,5,2,4,5,4
Daria,Malinowska,5B,2,2,5,3,2
Iga,Maciejewska,7B,4,4,3,5,1
Edyta,Woźniak,6B,1,3,4,3,3
Alisa,Wróblewska,7F,4,4,2,5,2
Emilia,Mazurek,7A,2,1,3,5,4
Andżelika,Sobczak,5F,3,4,3,5,4
Maria,Laskowska,5E,5,4,1,2,5
Elena,Tomaszewska,5B,1,1,5,1,4
Pamela,Mazur,8C,5,5,4,5,3
Łucja,Kołodziej,4A,5,3,1,4,5
Dorota,Przybylska,7D,2,2,4,4,2
Felicja,Błaszczyk,3F,3,1,4,5,1
Milena,Laskowska,2D,4,3,2,4,1
Daniela,Malinowska,7F,4,4,5,4,5
Berenika,Górecka,2D,5,1,3,1,5
Edyta,Szymczak,3C,4,4,2,3,1
Zuzanna,Malinowska,5C,3,5,5,3,1
Iga,Kozłowska,6D,2,1,4,4,1
Alisa,Sadowska,2C,3,4,1,5,5
Cecylia,Sikora,7D,4,3,3,3,5
Franciszka,Andrzejewska,3F,1,4,4,5,5
Nikola,Lewandowska,8C,3,2,5,4,2
Jadwiga,Lewandowska,2F,2,2,1,2,4
Róża,Mazur,4E,4,3,2,3,4
Daria,Wasilewska,5E,4,3,3,5,5
Aniela,Jankowska,4A,5,2,3,4,1
Magda,Mróz,3A,2,3,2,5,3
Ada,Woźniak,7E,5,4,2,1,3
Adela,Adamska,1D,2,1,1,5,1
Andrea,Górska,8C,5,2,1,3,3
Sylwia,Szymczak,1C,4,1,2,4,3
Beata,Szczepańska,1F,4,3,5,2,5
Joanna,Szymczak,8C,4,5,4,4,4
Julianna,Zielińska,3E,1,4,5,4,4
Elena,Jakubowska,6B,3,1,3,3,2
Ewa,Krupa,1A,3,5,5,2,1
Alana,Szczepańska,4A,1,2,3,2,3
Kornelia,Walczak,3D,5,3,5,3,3
Anatolia,Michalak,4E,2,5,5,3,4
Olimpia,Witkowska,7A,4,3,1,2,4
Matylda,Sokołowska,7A,4,4,3,1,2
Florencja,Kaczmarczyk,2F,3,2,5,5,5
Nina,Sawicka,1C,2,2,5,5,5
Berenika,Brzezińska,6C,3,2,2,4,3
Ola,Witkowska,2D,5,3,3,1,1
Gabriela,Laskowska,1E,3,3,5,4,3
Stefania,Czarnecka,8C,5,4,5,1,3
Roksana,Dąbrowska,7D,3,2,4,5,5
Marcelina,Sokołowska,4C,5,1,4,1,3
Elwira,Błaszczyk,1B,3,5,3,5,5
Izyda,Kwiatkowska,3D,4,3,3,2,1
Zofia,Dąbrowska,2A,4,5,4,2,4
Klara,Urbańska,5B,4,5,1,2,2
Kamila,Czerwińska,7B,4,3,2,4,1
Aisha,Jaworska,8B,1,5,4,4,3
Daniela,Szymczak,5E,4,1,1,2,2
Oliwia,Baranowska,1B,1,3,3,4,2
Regina,Nowak,6F,4,4,1,4,2
Kamila,Zawadzka,2B,3,3,5,3,4
Julita,Kozłowska,7A,3,1,4,2,4
Monika,Gajewska,1F,5,5,5,3,5
Izabela,Zielińska,5B,5,4,3,4,2
Regina,Malinowska,6C,5,3,2,3,4
Mirosława,Wysocka,1F,4,2,5,1,4
Judyta,Pawlak,2B,5,1,2,5,3
Magdalena,Kwiatkowska,3A,2,4,5,4,5
Wioletta,Laskowska,7A,2,2,1,4,5
Aisha,Walczak,6A,4,1,5,2,4
Izabela,Witkowska,4C,3,4,1,4,1
Alisa,Górecka,7F,5,3,5,5,3
Adriana,Sikorska,5A,2,2,1,1,5
Edyta,Walczak,2A,2,4,3,5,4
Olimpia,Krupa,4A,3,4,2,3,5
Lara,Kołodziej,6E,5,5,3,2,4
Aleksandra,Kalinowska,2A,1,2,2,4,1
Elżbieta,Pawlak,5A,5,5,1,1,4
Natalia,Górska,3D,1,4,2,3,4
Jadwiga,Kołodziej,6A,1,2,2,3,5
Jolanta,Nowak,2D,3,2,4,5,5
Amanda,Szczepańska,5D,5,5,1,2,3
Wanda,Jankowska,6A,1,5,1,2,2
Kaja,Kowalska,8B,4,2,2,5,5
Bogna,Baran,8F,3,3,5,1,1
Kinga,Jankowska,5B,1,2,3,4,3
Agata,Wiśniewska,2D,1,3,2,5,3
Andrea,Kwiatkowska,5F,5,2,2,5,1
Alina,Zalewska,2A,4,1,5,3,1
Olga,Makowska,2D,1,1,1,4,3
Julia,Malinowska,8A,2,4,3,1,4
Łucja,Szewczyk,8A,5,5,2,1,4
Weronika,Zielińska,2B,5,3,1,1,4
Andrea,Stępień,7D,4,1,2,1,4
Kinga,Kołodziej,4B,4,2,3,4,2
Łucja,Baran,6B,2,3,2,3,4
Adrianna,Chmielewska,3B,2,4,1,2,3
Aleksandra,Andrzejewska,8E,4,5,1,3,1
Bogda,Witkowska,1F,2,2,2,1,2
Dorota,Krawczyk,4E,4,5,1,4,5
Hortensja,Górska,5E,4,2,1,2,3
Natalia,Cieślak,2A,3,1,2,5,5
Zofia,Borkowska,7C,5,3,4,3,2
Elwira,Sikora,6D,3,1,1,5,3
Bianka,Duda,5D,5,2,3,1,4
Iza,Zakrzewska,1C,1,1,5,3,2
Zuzanna,Stępień,6B,1,5,4,1,2
Amalia,Zalewska,5B,4,5,3,1,2
Elżbieta,Lewandowska,2E,4,4,5,2,1
Marlena,Makowska,6F,3,1,5,3,2
Aniela,Adamska,4F,4,3,4,5,4
Klara,Górecka,1F,2,2,4,1,4
Barbara,Kowalczyk,6C,2,5,1,3,1
Ewa,Mazurek,5E,5,2,4,5,4
Pamela,Pietrzak,6D,5,4,1,1,2
Żaneta,Wróblewska,5A,2,4,5,4,5
Oksana,Sadowska,7A,4,3,5,2,5
Oksana,Jankowska,1A,5,1,5,3,4
Jowita,Kucharska,5B,3,4,3,5,4
Krystyna,Woźniak,6A,5,4,2,2,3
Nikola,Nowak,7D,2,5,2,4,4
Pamela,Malinowska,6D,2,2,1,2,5
Diana,Przybylska,5E,1,4,2,3,1
Agnieszka,Witkowska,8A,3,1,1,5,2
Elwira,Adamska,7E,3,4,1,4,2
Nikola,Błaszczyk,8F,3,3,3,1,1
Stefania,Sadowska,1E,2,4,1,1,2
Stefania,Kamińska,2A,3,5,3,2,1
Anatolia,Przybylska,3A,1,2,4,2,4
Amelia,Mazur,4A,1,3,4,1,2
Martyna,Jakubowska,4D,3,4,2,3,2
Adela,Wójcik,8E,3,3,1,1,1
Asia,Baran,1A,1,5,5,1,2
Agnieszka,Błaszczyk,2C,2,4,1,5,5
Malwina,Andrzejewska,7E,1,2,1,2,2
Amanda,Adamska,7E,4,3,1,4,2
Malwina,Maciejewska,4C,4,5,4,5,1
Karolina,Makowska,2E,2,4,3,4,4
Gabriela,Kalinowska,4D,4,1,5,5,4
Felicja,Cieślak,2F,3,1,1,4,2
Jadwiga,Laskowska,4F,1,5,2,1,3
Florencja,Duda,3E,5,1,2,5,5
Justyna,Mróz,7D,5,1,4,4,1
Marysia,Wojciechowska,3C,1,1,2,3,5
Ilona,Zielińska,6A,4,4,3,3,4
Danuta,Zielińska,3E,4,4,4,5,5
Eliza,Wiśniewska,1F,2,5,4,3,2
Celina,Wiśniewska,4B,4,4,5,4,3
Patrycja,Makowska,8D,2,1,3,3,5
Ida,Stępień,1F,5,4,3,3,2
Celina,Walczak,7A,2,5,4,4,2
Iga,Stępień,6D,1,2,4,1,2
Adriana,Jaworska,3D,3,1,4,1,1
Kornelia,Duda,4D,1,5,5,5,4
Ewa,Włodarczyk,1C,3,1,4,5,5
Natalia,Zielińska,4C,4,2,2,5,4
Stefania,Czerwińska,5D,3,4,4,3,4
Paula,Krajewska,3C,3,3,3,5,4
Dorota,Sadowska,6C,3,5,2,5,1
Marcela,Rutkowska,5A,5,4,4,5,2
Dominika,Adamska,2C,4,5,3,1,2
Alicja,Kowalczyk,3B,1,3,1,5,2
Angelika,Czarnecka,4C,2,2,3,3,3
Cecylia,Bąk,4D,3,4,3,2,3
Elena,Tomaszewska,2D,1,1,4,1,4
Lila,Kozłowska,3A,1,3,2,3,4
Krystyna,Kołodziej,8C,5,2,5,4,5
Ilona,Szulc,4C,3,5,4,5,3
Iga,Przybylska,7F,4,3,2,5,2
Bogumiła,Walczak,7C,1,1,3,4,4
Olimpia,Bąk,6D,4,5,3,1,2
Joanna,Wiśniewska,5F,4,4,5,5,1
Ada,Szulc,2C,2,4,4,5,3
Asia,Szczepańska,4F,2,4,5,1,2
Berenika,Kozłowska,6B,3,3,4,4,1
Hortensja,Wójcik,1F,4,2,5,3,4
Anita,Wróblewska,1F,5,2,3,4,3
Luiza,Brzezińska,5D,3,3,1,2,4
Lucyna,Zielińska,2B,2,2,2,3,3
Barbara,Lis,4B,4,4,3,2,4
Andżelika,Duda,6C,1,1,2,4,1
Karolina,Szymańska,2B,5,4,5,5,4
Krystyna,Błaszczyk,6D,4,2,3,5,1
Klaudia,Borkowska,2C,3,4,3,1,2
Helena,Zielińska,1D,4,5,1,5,4
Izabela,Wójcik,3C,1,4,1,5,5
Luiza,Chmielewska,7E,5,4,4,4,4
Oktawia,Krawczyk,8B,4,5,4,2,4
Franciszka,Szczepańska,7B,1,1,5,5,4
Józefa,Szulc,2D,1,2,2,5,2
Gabriela,Malinowska,2B,4,5,4,3,2
Eleonora,Zakrzewska,7A,4,2,1,5,3
Róża,Borkowska,6F,4,1,1,5,5
Nina,Laskowska,5B,3,3,5,4,1
Ola,Lewandowska,6B,5,4,4,1,3
Marysia,Mazurek,7F,3,4,1,3,1
Liliana,Brzezińska,4D,4,2,1,2,1
Ada,Górska,5D,5,3,1,3,5
Martyna,Dąbrowska,5A,2,2,4,1,4
Oksana,Mróz,5B,4,1,5,2,1
Czesława,Kucharska,2A,5,3,3,5,2
Stefania,Krawczyk,5F,1,2,2,5,5
Oktawia,Malinowska,3B,3,3,3,2,5
Hortensja,Zalewska,5E,1,5,5,3,1
Róża,Cieślak,6E,2,1,5,2,3
Karolina,Piotrowska,3D,3,1,4,2,1
Danuta,Kwiatkowska,4C,2,5,5,2,5
Eliza,Lewandowska,5D,4,5,4,3,5
Balbina,Krawczyk,1B,4,1,3,5,2
Marcela,Laskowska,5F,3,5,5,5,2
Ola,Pietrzak,8B,4,1,3,1,1
Berenika,Szulc,8E,1,1,1,3,2
Blanka,Zielińska,1D,4,5,1,5,1
Angelika,Woźniak,4F,2,5,2,2,2
Luiza,Głowacka,2C,4,3,4,5,3
Dagmara,Krajewska,8D,3,3,2,4,3
Julianna,Mazur,2D,1,1,3,5,3
Jadwiga,Bąk,5E,3,3,3,4,1
Oksana,Jakubowska,7B,3,2,3,3,4
Marta,Wojciechowska,6F,4,3,3,3,4
Jola,Sikorska,7B,3,1,1,5,1
Weronika,Lewandowska,3C,5,5,2,4,2
Otylia,Sokołowska,5A,5,3,3,1,1
Agnieszka,Czerwińska,7D,5,2,3,3,4
Ewelina,Mazur,2C,3,5,2,1,5
Bernadetta,Jankowska,8F,5,2,3,3,5
Elwira,Czerwińska,8C,1,5,3,3,2
Adriana,Chmielewska,4F,5,4,2,2,5
Otylia,Chmielewska,3A,3,2,1,5,4
Zofia,Wojciechowska,1C,4,4,3,2,5
Arleta,Baran,1A,5,1,5,3,2
Józefa,Kowalczyk,3E,4,3,2,5,5
Żaneta,Jankowska,3E,5,2,4,3,1
Aneta,Kalinowska,5D,4,2,1,5,1
Anita,Lewandowska,5C,3,5,4,2,3
Adela,Jakubowska,4B,1,3,4,3,4
Marlena,Pietrzak,6E,1,2,3,1,4
Paulina,Michalak,6E,2,2,3,2,1
Celina,Maciejewska,7D,5,1,1,1,4
Wiktoria,Lewandowska,6B,4,3,2,3,3
Alicja,Laskowska,4E,3,2,2,5,1
Marysia,Kucharska,2E,2,5,4,5,5
Daria,Włodarczyk,7E,4,2,2,5,3
Amanda,Szymczak,6D,1,5,5,5,1
Liliana,Ostrowska,7E,2,1,4,2,2
Oktawia,Wróblewska,6C,3,3,1,5,2
Marysia,Lewandowska,1A,2,5,4,3,4
Marzanna,Zakrzewska,5F,1,2,4,1,5
Angelika,Bąk,8A,2,3,1,1,1
Oliwia,Malinowska,5F,3,5,4,4,2
Mirosława,Zalewska,8C,3,3,5,5,2
Eleonora,Krajewska,7B,2,5,2,1,5
Mirosława,Rutkowska,8D,4,5,4,3,5
Irena,Baran,3C,5,1,2,5,3
Paulina,Wojciechowska,7C,4,2,1,2,2
Weronika,Zielińska,2F,3,5,3,2,3
Dominika,Wysocka,1F,4,4,2,2,3
Ida,Kaźmierczak,7C,1,3,1,3,5
Edyta,Zawadzka,4C,1,1,5,5,2
Olimpia,Szczepańska,1A,5,1,5,2,3
Blanka,Laskowska,7B,2,1,4,3,4
Izyda,Szewczyk,5F,4,1,5,5,3
Andrea,Krajewska,3F,4,4,4,3,1
Iga,Włodarczyk,2E,5,5,2,1,5
Oksana,Jakubowska,2C,3,5,5,1,1
Emilia,Górska,3E,2,4,5,2,1
Regina,Szymczak,7B,4,1,5,4,5
Czesława,Duda,3C,4,1,4,2,1
Alina,Zielińska,3A,4,2,5,2,3
Olimpia,Jakubowska,1E,5,1,5,5,3
Olga,Szulc,6A,5,5,3,4,2
Regina,Malinowska,5E,3,3,4,1,3
Patrycja,Mazurek,6F,4,1,3,2,2
Edyta,Stępień,1D,5,2,4,3,2
Malwina,Andrzejewska,1A,1,5,2,1,4
Czesława,Mazurek,1E,2,4,1,1,1
Klara,Pawlak,3F,2,3,1,4,5
Nina,Kaczmarczyk,4C,1,4,5,4,1
Jolanta,Kowalczyk,5E,3,3,4,4,3
Honorata,Cieślak,5F,3,4,2,1,3
Bogumiła,Wróblewska,6B,5,5,2,1,3
Berenika,Sobczak,3A,4,1,1,1,4
Adrianna,Brzezińska,8A,2,4,1,4,1
Amalia,Zielińska,7D,1,4,2,3,1
Irena,Sobczak,7E,2,3,4,4,3
Helena,Kołodziej,6C,1,3,5,2,5
Aneta,Kubiak,3F,4,1,3,4,2
Ada,Zawadzka,2E,1,3,5,1,1
Iza,Maciejewska,6A,1,5,3,1,2
Maria,Krupa,8C,4,3,2,5,4
Olga,Walczak,5E,3,2,5,3,5
Aneta,Kaczmarczyk,4C,1,4,5,2,4
Liliana,Baran,8D,3,3,1,3,2
Lara,Jaworska,7F,4,3,5,3,2
Kornelia,Mazur,2C,1,2,2,1,5
Anastazja,Zalewska,6C,2,1,3,1,2
Krystyna,Sokołowska,6B,5,4,1,1,5
Jola,Krawczyk,6F,5,1,1,1,2
Regina,Krawczyk,7D,5,1,5,4,3
Lucyna,Zalewska,3B,3,2,2,1,2
Pamela,Kubiak,1E,3,3,3,3,1
Weronika,Wysocka,1B,2,5,3,4,4
Aneta,Kalinowska,1B,4,3,1,3,1
Jadwiga,Szewczyk,2F,4,3,2,1,2
Jadwiga,Piotrowska,4A,5,4,3,4,4
Elena,Laskowska,2A,1,2,2,4,5
Antonina,Lis,7A,3,3,5,4,5
Kaja,Zawadzka,1F,2,2,2,3,2
Jolanta,Szewczyk,3A,2,4,2,2,5
Jagoda,Jasińska,1D,3,5,5,1,3
Edyta,Szewczyk,7F,3,2,4,5,1
Krystyna,Wójcik,6F,2,4,3,1,4
Ewa,Sikora,6B,4,3,3,1,2
Blanka,Pietrzak,3B,3,4,1,3,4
Marzanna,Sikorska,2A,2,5,4,1,2
Amalia,Wojciechowska,2A,4,3,1,2,5
Adrianna,Lewandowska,5B,4,2,2,3,3
Izyda,Jakubowska,5A,1,5,4,1,5
Żaneta,Walczak,4E,4,5,4,3,5
Justyna,Kowalska,5B,2,5,5,4,3
Danuta,Tomaszewska,5B,1,5,2,5,2
Dagmara,Zalewska,7C,1,1,4,1,4
Barbara,Krawczyk,7B,2,4,2,2,2
Diana,Kubiak,6A,1,3,3,3,5
Helena,Zielińska,7A,4,1,4,1,2
Lara,Wojciechowska,3A,3,2,3,1,3
Barbara,Jasińska,7A,4,5,1,2,5
Iga,Ostrowska,1D,5,5,4,5,1
Wioletta,Zakrzewska,8A,1,2,1,3,1
Andżelika,Sobczak,6C,3,5,2,1,4
Ewa,Zalewska,2C,4,3,3,4,3
Luiza,Krawczyk,1D,1,3,5,2,4
Alisa,Sikorska,6E,3,3,2,5,2
Karolina,Krupa,4F,5,4,5,5,4
Mirosława,Górska,7A,5,1,3,1,3
Izyda,Górecka,4E,5,2,2,4,5
Otylia,Mróz,5C,1,3,2,4,4
Asia,Wójcik,3C,4,2,1,5,1
Roksana,Kowalczyk,7E,1,2,2,3,4
Katarzyna,Rutkowska,6F,2,5,1,4,2
Wioletta,Sikorska,2A,3,3,3,5,4
Antonina,Sokołowska,4E,2,1,4,1,3
Pamela,Bąk,6C,1,1,2,2,2
Agnieszka,Kołodziej,6F,5,1,5,5,2
Lidia,Bąk,8D,5,4,1,3,2
Berenika,Górecka,7B,2,5,1,2,2
Honorata,Andrzejewska,3F,4,4,5,1,2
Katarzyna,Brzezińska,1E,4,3,3,5,4
Joanna,Sawicka,7F,2,2,2,3,5
Idalia,Jankowska,2A,1,2,5,5,5
Małgorzata,Gajewska,4A,5,4,4,4,4
Zuza,Maciejewska,6B,4,5,3,5,4
Bianka,Kaźmierczak,3B,3,4,4,5,2
Pamela,Gajewska,4D,2,5,3,1,5
Sylwia,Kubiak,6B,2,1,1,2,5
Hortensja,Borkowska,7E,5,4,1,4,5
Paulina,Wiśniewska,7A,2,2,5,3,1
Gabriela,Kowalczyk,2A,2,3,1,1,3
Stefania,Duda,4E,1,4,4,2,1
Aniela,Bąk,6E,3,2,3,3,5
Julita,Maciejewska,5F,5,3,4,1,4
Bogna,Sadowska,7D,5,5,4,3,4
Agata,Górska,5B,3,3,4,3,4
Lila,Sobczak,2E,2,2,3,4,1
Regina,Borkowska,5D,3,1,4,1,4
Kinga,Błaszczyk,3F,4,4,2,5,5
Daria,Ziółkowska,4B,3,1,2,5,4
Barbara,Dąbrowska,8D,4,1,4,1,5
Liliana,Maciejewska,6B,3,5,2,3,5
Kornelia,Kamińska,2A,5,3,1,3,2
Diana,Tomaszewska,5D,2,1,1,4,5
Anatolia,Szymczak,3B,5,3,2,4,2
Julita,Maciejewska,1F,1,4,5,1,2
Marlena,Kowalska,6E,2,2,2,4,1
Danuta,Baran,6B,5,4,1,3,5
Kinga,Makowska,4E,4,3,3,3,5
Wiktoria,Walczak,6E,3,4,3,2,4
Karolina,Pietrzak,7D,3,1,3,2,1
Ilona,Borkowska,4E,5,3,3,3,5
Klara,Sikorska,8A,4,4,5,2,5
Anita,Wójcik,5B,3,4,4,4,1
Natasza,Woźniak,8A,1,2,2,3,1
